SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES
HDFC,EQ,1841.3,1861.95,1824,1850.75,1853,1841.3,3724639,6862134768,27-Jul-20,166745
HDFC,EQ,1859.35,1907,1844.5,1897.35,1892,1850.75,4346193,8157568544,28-Jul-20,175005
HDFC,EQ,1885,1918.5,1867.2,1877.3,1879.65,1897.35,7413828,14013720597,29-Jul-20,202540
HDFC,EQ,1880,1900.7,1804,1810.65,1804.95,1877.3,7473426,13812489031,30-Jul-20,243718
HDFC,EQ,1805,1811.2,1759,1781.95,1786.5,1810.65,7746014,13816965913,31-Jul-20,234358
HDFC,EQ,1781,1781.95,1730.1,1739.8,1744,1781.95,4648927,8163809657,03-Aug-20,199001
HDFC,EQ,1749,1794.45,1743.4,1781.1,1783.85,1739.8,4722583,8373874928,04-Aug-20,201026
HDFC,EQ,1784.4,1811.5,1766.25,1776.7,1780,1781.1,5576455,9967784418,05-Aug-20,166848
HDFC,EQ,1798.25,1805.7,1762.05,1783.75,1778.45,1776.7,6004624,10714415041,06-Aug-20,169297
HDFC,EQ,1774.95,1781.8,1763,1777.7,1779.9,1783.75,5129995,9100051953,07-Aug-20,146649
HDFC,EQ,1794,1811,1789.3,1798.95,1796.6,1777.7,3030917,5457022247,10-Aug-20,102333
HDFC,EQ,1813,1846.75,1810.5,1826.75,1829,1798.95,4944312,9069914819,11-Aug-20,167219
HDFC,EQ,1825.75,1837.7,1802,1814.2,1821,1826.75,3606317,6564247309,12-Aug-20,129657
HDFC,EQ,1818.5,1823.65,1799.55,1804.85,1810,1814.2,3769538,6813503043,13-Aug-20,129725
HDFC,EQ,1818.6,1823.75,1773.25,1791.7,1793.75,1804.85,6136766,11025637097,14-Aug-20,186319
HDFC,EQ,1805,1807.85,1783.85,1800.55,1801.95,1791.7,4076960,7318829944,17-Aug-20,148103
HDFC,EQ,1801.1,1825.4,1795.95,1820.7,1819.05,1800.55,3413536,6190549505,18-Aug-20,141811
HDFC,EQ,1835,1835.9,1818.05,1827.95,1827.55,1820.7,2934730,5364712977,19-Aug-20,85358
HDFC,EQ,1803,1807.95,1782.25,1785.15,1786.2,1827.95,2702815,4844694753,20-Aug-20,108995
HDFC,EQ,1800,1824.7,1787.15,1804.05,1803,1785.15,3466213,6267781524,21-Aug-20,103783
HDFC,EQ,1814.95,1849,1811,1829.85,1828.1,1804.05,3816127,6999449567,24-Aug-20,124182
HDFC,EQ,1843.75,1852.4,1817.05,1829.6,1831.4,1829.85,2646159,4855322296,25-Aug-20,111918
HDFC,EQ,1837,1837.8,1803.6,1816,1810.75,1829.6,3187424,5791196460,26-Aug-20,122481
HDFC,EQ,1832,1883,1830,1864.1,1863.5,1816,8648531,16127391613,27-Aug-20,256931
HDFC,EQ,1871,1889,1862.8,1883.25,1881,1864.1,4903981,9218857512,28-Aug-20,167080
HDFC,EQ,1898.5,1921.9,1797.55,1832.6,1825,1883.25,7604691,14089296214,31-Aug-20,225537
HDFC,EQ,1858,1884,1831.85,1851.2,1850.95,1832.6,3793458,7043063272,01-Sep-20,119717
HDFC,EQ,1849.85,1849.95,1810,1827.2,1829.5,1851.2,4235148,7740280047,02-Sep-20,145879
HDFC,EQ,1831,1842.8,1803.45,1808.75,1811.25,1827.2,3350617,6093597265,03-Sep-20,143556
HDFC,EQ,1783.6,1789,1761.8,1769.7,1771,1808.75,4214148,7476349861,04-Sep-20,168917
HDFC,EQ,1773,1801.45,1760,1791.1,1790.1,1769.7,4073465,7271021102,07-Sep-20,147215
HDFC,EQ,1785.1,1793.25,1770.8,1777.3,1775.35,1791.1,2456321,4379379510,08-Sep-20,126617
HDFC,EQ,1759.55,1777.9,1755,1760.75,1763.5,1777.3,2509630,4421689795,09-Sep-20,111531
HDFC,EQ,1781,1792.95,1760,1777.45,1770.5,1760.75,3245630,5760203452,10-Sep-20,118585
HDFC,EQ,1771,1786,1760,1768.15,1765.05,1777.45,2232185,3947909488,11-Sep-20,89221
HDFC,EQ,1781,1796.85,1728.4,1738,1736.05,1768.15,4061493,7145131677,14-Sep-20,168602
HDFC,EQ,1754.9,1777,1742.8,1758.75,1763,1738,3159537,5561510107,15-Sep-20,109456
HDFC,EQ,1766,1774.7,1743.45,1768.15,1768,1758.75,2592551,4562444207,16-Sep-20,108625
HDFC,EQ,1750,1773.2,1736.5,1744.35,1749,1768.15,3191905,5584934694,17-Sep-20,127780
HDFC,EQ,1752.9,1754.75,1708.3,1724,1732.6,1744.35,5642506,9762521718,18-Sep-20,179497
HDFC,EQ,1722.8,1738.75,1701.85,1708.15,1707.75,1724,3174505,5469699128,21-Sep-20,130442
HDFC,EQ,1716.25,1716.25,1672,1674.85,1676.4,1708.15,3615745,6098064204,22-Sep-20,178315
HDFC,EQ,1694,1696.65,1650.4,1667.1,1667,1674.85,4803637,8037715007,23-Sep-20,200608
HDFC,EQ,1646.8,1654.15,1623,1636.85,1636.25,1667.1,5673754,9289858200,24-Sep-20,197468
HDFC,EQ,1651.95,1657.8,1628.1,1652,1652.75,1636.85,4046773,6660064455,25-Sep-20,134783
HDFC,EQ,1672.9,1692.6,1658,1681.45,1685,1652,2739071,4598260285,28-Sep-20,105938
HDFC,EQ,1692,1720,1682.1,1713.1,1712.65,1681.45,3696138,6289406785,29-Sep-20,143476
HDFC,EQ,1716.9,1744.25,1703.2,1740.05,1733,1713.1,3594715,6212925377,30-Sep-20,170194
HDFC,EQ,1755,1799.85,1750,1790.65,1787.8,1740.05,3706206,6613676467,01-Oct-20,126251
HDFC,EQ,1784,1816.5,1775.7,1785.1,1782.35,1790.65,4056801,7301503881,05-Oct-20,184302
HDFC,EQ,1803.15,1943.7,1803.15,1934.4,1920,1785.1,16829628,31924298556,06-Oct-20,538170
HDFC,EQ,1945,1964.85,1908.85,1948.75,1952,1934.4,7038044,13665892734,07-Oct-20,249998
HDFC,EQ,1952.5,1988.45,1938.5,1949.25,1947.8,1948.75,4589506,9018901318,08-Oct-20,200847
HDFC,EQ,1945,2029.85,1938,1957.65,1966,1949.25,10848230,21559674797,09-Oct-20,324810
HDFC,EQ,1965,1998.95,1942.3,1965.4,1963.95,1957.65,3651557,7185427649,12-Oct-20,138149
HDFC,EQ,1962,1986.65,1930.55,1943.4,1939,1965.4,3351027,6551466215,13-Oct-20,136009
HDFC,EQ,1935,1989,1919.05,1979.85,1978.1,1943.4,3108218,6061329760,14-Oct-20,117744
HDFC,EQ,1983,2020,1938.25,1947.2,1947.05,1979.85,5170267,10253552906,15-Oct-20,185795
HDFC,EQ,1948.4,1983.7,1939.35,1961.7,1958.6,1947.2,3238617,6344903292,16-Oct-20,131973
HDFC,EQ,1985,2039.9,1983.1,2031.5,2033.25,1961.7,6591617,13319959804,19-Oct-20,188322
HDFC,EQ,2025,2041.7,2004.05,2015.3,2017.1,2031.5,4733065,9569809331,20-Oct-20,188405
HDFC,EQ,2030,2067.45,2005.35,2048.75,2045.8,2015.3,8166501,16717703468,21-Oct-20,223144
HDFC,EQ,2038.3,2063,2023.15,2042.55,2046,2048.75,5030745,10275855914,22-Oct-20,220748
HDFC,EQ,2056,2067.9,2046,2059.7,2062.75,2042.55,3573911,7347820062,23-Oct-20,127950
HDFC,EQ,2058,2083.95,2052.75,2073.35,2073,2059.7,4927520,10195074348,26-Oct-20,148814
HDFC,EQ,2056,2064.8,2027,2041.35,2029.75,2073.35,4468948,9163074175,27-Oct-20,175630
HDFC,EQ,2045,2045,1965,1968.9,1969.1,2041.35,4636738,9206559404,28-Oct-20,238018
HDFC,EQ,1941.25,1970,1927.3,1934.3,1937.55,1968.9,3463664,6744689282,29-Oct-20,194216
HDFC,EQ,1930,1947,1906.85,1923.55,1921,1934.3,4322115,8322607584,30-Oct-20,162226
HDFC,EQ,1916,2065,1916,2040.8,2022.3,1923.55,7635981,15233134583,02-Nov-20,266011
HDFC,EQ,2030,2139.65,2030,2130.95,2121.35,2040.8,8905106,18734281984,03-Nov-20,328061
HDFC,EQ,2111.1,2134.95,2056.4,2088.2,2085,2130.95,5214238,10906600958,04-Nov-20,228842
HDFC,EQ,2106,2120,2084.3,2100.7,2102.3,2088.2,4117187,8642543843,05-Nov-20,158099
HDFC,EQ,2110,2145,2102.45,2138.45,2136.35,2100.7,4607710,9799922470,06-Nov-20,153460
HDFC,EQ,2150,2169.95,2138.2,2152.1,2156,2138.45,3529739,7603377838,09-Nov-20,107244
HDFC,EQ,2185,2288.8,2175.55,2272.1,2268.95,2152.1,8512622,19124668022,10-Nov-20,316631
HDFC,EQ,2279,2337,2273,2324.3,2318,2272.1,7235313,16694403655,11-Nov-20,205390
HDFC,EQ,2297.25,2343.8,2267.45,2332.1,2326.05,2324.3,6398213,14719512309,12-Nov-20,225111
HDFC,EQ,2320,2323.3,2284,2306.75,2306.7,2332.1,3999928,9216175813,13-Nov-20,130409
HDFC,EQ,2339.9,2364.75,2307.4,2349,2344.85,2311.25,7393052,17242915956,17-Nov-20,173799
HDFC,EQ,2336.7,2369.4,2320.3,2364.9,2360,2349,4344487,10201897712,18-Nov-20,151565
HDFC,EQ,2336,2351.9,2311,2324.6,2327.5,2364.9,6936896,16143740175,19-Nov-20,160110
HDFC,EQ,2330,2386.55,2326.55,2334.8,2329,2324.6,5321688,12505673533,20-Nov-20,159247
HDFC,EQ,2344.2,2347.85,2230.1,2250.8,2253.05,2334.8,6995598,15855018351,23-Nov-20,218301
HDFC,EQ,2272.25,2272.25,2209.55,2217.7,2220,2250.8,4945274,11039617437,24-Nov-20,205979
HDFC,EQ,2228,2252.15,2179.3,2191.35,2186.8,2217.7,6150483,13593069077,25-Nov-20,217608
HDFC,EQ,2197.15,2245,2187.65,2238.4,2242.7,2191.35,5026304,11134205386,26-Nov-20,208269
HDFC,EQ,2240,2272.45,2202.2,2256.25,2238,2238.4,10179511,22801506316,27-Nov-20,213049
HDFC,EQ,2237,2324,2217.65,2306.95,2296.2,2256.25,7031670,16053479119,01-Dec-20,236556
HDFC,EQ,2300,2304,2252.5,2276.35,2274,2306.95,3191550,7265961073,02-Dec-20,148812
HDFC,EQ,2287,2289.45,2235,2253.95,2252.75,2276.35,4528707,10221611674,03-Dec-20,157122
HDFC,EQ,2253.95,2284.9,2231.6,2245.9,2247.2,2253.95,3245440,7312486078,04-Dec-20,127080
HDFC,EQ,2240,2309.7,2221.2,2303.8,2303,2245.9,4910736,11205315398,07-Dec-20,191036
HDFC,EQ,2315,2340,2292.05,2309.75,2309,2303.8,5262959,12186668785,08-Dec-20,162017
HDFC,EQ,2318,2334.65,2280.6,2306.7,2306,2309.75,3302661,7624232030,09-Dec-20,114133
HDFC,EQ,2300,2303,2267,2289.1,2289.8,2306.7,2545081,5808940361,10-Dec-20,100245
HDFC,EQ,2307,2317.7,2272,2295.9,2297,2289.1,4577813,10508944241,11-Dec-20,143063
HDFC,EQ,2306.7,2315.65,2270.55,2302.65,2300.55,2295.9,3160235,7245930583,14-Dec-20,130954
HDFC,EQ,2290.5,2357.4,2282.7,2350.35,2350.35,2302.65,5056502,11791167409,15-Dec-20,181471
HDFC,EQ,2377.95,2443.4,2365.5,2424.65,2415,2350.35,6532346,15712587606,16-Dec-20,215995
HDFC,EQ,2434.9,2509,2420.15,2494.6,2490.1,2424.65,7379515,18267067625,17-Dec-20,216960
HDFC,EQ,2482,2489,2431,2479.4,2472.8,2494.6,4189517,10305009813,18-Dec-20,154155
HDFC,EQ,2468,2478.95,2370.45,2414.8,2404.45,2479.4,3573982,8729453775,21-Dec-20,136935
HDFC,EQ,2415,2439.9,2360.5,2403.65,2398.5,2414.8,4832004,11582915570,22-Dec-20,162100
HDFC,EQ,2398,2419.65,2376.75,2403.05,2405.9,2403.65,2605828,6236006742,23-Dec-20,102506
HDFC,EQ,2417,2464.65,2411.05,2455.15,2451.85,2403.05,2723426,6648298919,24-Dec-20,90401
