Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-Mar-11,266.22,273.95,265.38,273.15,1353.340571,279918,8725,378824386,92596,33.08,42.85,34.65
28-Mar-11,273.02,278.3,273.02,276.93,1382.425,148160,5315,204820088,34805,23.49,26.4,19.55
29-Mar-11,276.78,286.4,275.82,284.52,1410.737442,291951,9772,411866207,92281,31.61,52.9,38.7
30-Mar-11,285.6,287,282.64,284.94,1422.366304,173479,6711,246750684,23625,13.62,21.8,-3.3
31-Mar-11,286,288.74,277.46,280.73,1414.387427,162304,6012,229560737,29432,18.13,56.4,-26.35
01-Apr-11,280.62,283.39,275.82,281.81,1396.083267,111160,5325,155188616,6126,5.51,37.85,5.95
04-Apr-11,282.4,288,281.62,286.43,1427.949481,95390,4004,136212101,15521,16.27,31.9,20.15
05-Apr-11,289,289,282,285.47,1423.229949,139496,5051,198534885,18362,13.16,35,-17.65
06-Apr-11,284.5,288.3,283,285.83,1429.228016,146047,6569,208734464,23326,15.97,26.5,6.65
07-Apr-11,285,292,283.32,289.49,1444.463924,180508,6415,260737294,37086,20.55,43.4,22.45
08-Apr-11,289.54,292.11,287.2,290.17,1447.027214,204085,5201,295316549,74642,36.57,24.55,3.15
11-Apr-11,289,289,281.4,282.43,1418.83667,90902,4394,128975091,13766,15.14,38,-32.85
13-Apr-11,279.2,289,278.21,287.88,1424.65772,125479,4729,178764626,17084,13.62,53.95,43.4
15-Apr-11,284,291.56,284,285.47,1435.560015,93901,3984,134800521,11036,11.75,37.8,7.35
18-Apr-11,286.6,289.96,277.6,278.96,1416.545696,103631,3764,146798047,12932,12.48,61.8,-38.2
19-Apr-11,276.65,283.15,276.65,282.12,1403.317074,97176,3981,136368740,5041,5.19,32.5,27.35
20-Apr-11,285,290.69,282.93,289.58,1432.332682,106498,3984,152540566,16642,15.63,38.8,22.9
21-Apr-11,290.2,291.36,288.2,289.91,1448.602302,119739,3467,173454191,29092,24.3,15.8,-1.45
25-Apr-11,280,281.76,274.2,275.43,1388.006839,456091,16072,633057427,124283,27.25,37.8,-22.85
26-Apr-11,277.9,277.9,268,271.04,1355.08631,403891,15395,547307165,85230,21.1,49.5,-34.3
